Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
16-40-51-2613720,777.1055,465.5117
16-40-51-4298220,777.1055,465.5117
16-40-51-5935770,777.1055,465.5117
16-40-51-7507230,777.1055,465.5117
16-40-51-9152820,777.1055,465.5117
16-40-52-0672320,777.1055,465.5117
16-40-52-2222060,777.1055,465.5117
16-40-52-3575450,777.1055,465.5117
16-40-52-5174710,777.1055,465.5117
16-40-52-6826300,777.1055,465.5117
16-40-52-8298950,777.1055,465.5117
16-40-53-7052930,777.1055,465.5117
16-40-53-8614370,777.1055,465.5117
16-40-54-0174050,777.1055,465.5117
16-40-54-1498070,777.1055,465.5117
16-40-54-3071960,777.1055,465.5117
16-40-54-4695800,777.1055,465.5117
16-40-54-6376820,777.1055,465.5117
16-40-54-7895640,777.1055,465.5117
16-40-54-9454630,777.1055,465.5117
16-40-55-0970600,777.1055,465.5117
16-40-55-2658360,777.1055,465.5117
16-40-55-3975170,777.1055,465.5117
16-40-55-5294180,777.1055,465.5117
16-40-55-6855300,777.1055,465.5117
16-40-55-8416070,777.1055,465.5117
16-40-55-9973550,777.1055,465.5117
16-40-56-1576360,777.1055,465.5117
16-40-56-3052970,777.1055,465.5117
16-40-56-4654670,777.1055,465.5117
16-40-56-6255150,777.1055,465.5117
16-40-56-7771970,777.1055,465.5117
16-40-56-9335340,777.1055,465.5117
16-40-57-0891710,777.1055,465.5117
16-40-57-2532030,777.1055,465.5117
16-40-57-4050960,777.1055,465.5117
16-40-57-5571140,777.1055,465.5117
16-40-57-7053680,777.1055,465.5117
16-40-57-8570220,777.1055,465.5117
16-40-57-9948680,777.1055,465.5117
16-40-58-1616050,777.1055,465.5117
16-40-58-3250980,777.1055,465.5117
16-40-58-4911280,777.1055,465.5117
16-40-58-6535640,777.1055,465.5117
16-40-58-7815280,777.1055,465.5117
16-40-58-9133120,777.1055,465.5117
16-40-59-0691020,777.1055,465.5117
16-40-59-2338220,777.1055,465.5117
16-40-59-3933250,777.1055,465.5117
16-40-59-5250580,777.1055,465.5117
16-40-59-6613510,777.1055,465.5117
16-40-59-8175350,777.1055,465.5117
16-40-59-9534020,777.1055,465.5117
16-41-00-1211080,777.1055,465.5117
16-41-00-2810090,777.1055,465.5117
16-41-00-4422830,777.1055,465.5117
16-41-00-5734250,777.1055,465.5117
16-41-00-7378910,777.1055,465.5117
16-41-00-9055550,777.1055,465.5117
16-41-01-0572000,777.1055,465.5117
16-41-01-1853700,777.1055,465.5117
16-41-01-3377400,777.1055,465.5117
16-41-01-4865990,777.1055,465.5117
16-41-01-6451400,777.1055,465.5117
16-41-01-8095530,777.1055,465.5117
16-41-01-9705750,777.1055,465.5117
16-41-02-1295520,777.1055,465.5117
16-41-02-2936440,777.1055,465.5117
16-41-02-4495250,777.1055,465.5117
16-41-02-5768190,777.1055,465.5117
16-41-02-7423440,777.1055,465.5117
16-41-02-8934040,777.1055,465.5117
16-41-03-0534410,777.1055,465.5117
16-41-03-1858500,777.1055,465.5117
16-41-03-9651360,777.1055,465.5117
16-41-04-1069790,777.1055,465.5117
16-41-04-2733960,777.1055,465.5117
